"","model","gridID","n_points","refit","Mu1","Mu2","Sigma1","Sigma2","Nu1","Nu2","Theta","Rho","Kappa1","Kappa2","sigma_e1","sigma_e2","rho_e","Time","TimeCV","cv_status","RB","n","conv"
"519","nig_indep",386,244,FALSE,0.00134150239195694,-0.130422758204556,0.0510006768359494,0.239380787577123,0.419355323053847,0.574016658412738,0,-0.0656420725879296,1.9283704050575,0.998903554238773,0.00986448960460227,0.089440171054113,NA,5.1177723194162,56.97,"CV_done",TRUE,1798,FALSE
"520","nig_indep",44,168,FALSE,-0.23931248505438,0.506682678867461,0.126417209798729,0.79557788897055,0.836476972263356,0.850605816991487,0,0.765942877106846,1.23641904166831,1.60701772744458,0.0412219301903224,0.328199866282295,NA,1.14088212260769,56.97,"CV_done",TRUE,1460,TRUE
"521","nig_indep",45,493,FALSE,-0.458008926050285,0.133149270899509,0.076457621902637,0.48829415813384,0.618175370899759,0.286291995156942,0,0.335826330351068,1.2799687012904,1.59885118421544,0.0287142741512548,0.180227454045621,NA,3.81391943215772,56.97,"CV_done",TRUE,1457,TRUE
"522","nig_indep",46,484,FALSE,-0.277475164256974,0.212054091353499,0.068637911647272,0.364163310098279,0.85008732196817,0.842295431045075,0,0.185235304703601,1.27890471319595,1.26820627723224,0.0228347796959792,0.140943309475367,NA,14.9557733597358,56.97,"CV_done",TRUE,1459,TRUE
"523","nig_indep",47,657,FALSE,-0.257532271607322,0.204174948683314,0.0483493396676326,0.304633899171,0.788983248024458,0.725001102668469,0,0.125560458990695,1.3829432151035,1.20012250803744,0.0144518134129006,0.118071975886132,NA,1.10287627328325,56.97,"CV_done",TRUE,1458,TRUE
"524","nig_indep",48,711,FALSE,-0.282960485283728,0.428281321950425,0.0349663287911607,0.305799949500483,0.940560848495948,0.956148925815652,0,0.265340350673861,1.1938426544431,1.39419335326265,0.0133245935889538,0.125699352307229,NA,10.516010968354,56.97,"CV_done",TRUE,1461,TRUE
"525","nig_indep",49,431,FALSE,-0.0434591809449286,0.639164428841374,0.0340358865554879,0.332101284873415,0.917559973636121,0.876262347562429,0,0.456491001344301,2.03581701947924,1.74773485318016,0.0154499201354642,0.145466262391581,NA,3.64065579375183,56.97,"CV_done",TRUE,1454,FALSE
"526","nig_indep",54,386,FALSE,-0.0091914232106026,-0.033984826759004,0.312192345412684,2.21093840644741,0.128634238522347,0.608743753744037,0.144691756665471,4.07000162426143,2.72291328162198,2.4061106232139,0.0319077111990863,0.265359778183956,NA,3.40183598087894,56.97,"CV_done",TRUE,1465,FALSE
"527","nig_indep",55,951,FALSE,-0.00476889743365443,0.0171420931487668,0.250433638595527,1.91159654189688,0.0726477899905245,0.430685757051133,0,3.40764639139519,1.62994361761294,1.52370411373882,0.0291423541445927,0.228646539236174,NA,3.19097358353436,56.97,"CV_done",TRUE,1477,TRUE
"528","nig_indep",56,789,FALSE,-0.0424463444321289,-0.0829333717350107,0.1351474136221,0.935922632129502,0.0930759197827071,0.149146850823466,0,3.24848286860216,0.875497272963711,0.96860530825669,0.0212697200427912,0.137906249432883,NA,3.93734988906317,56.97,"CV_done",TRUE,1471,FALSE
"529","nig_indep",57,193,FALSE,-0.0168455924872661,0.0554399586126088,0.0738753728693765,0.317805412415443,0.23083291566923,0.513235783110051,0,1.40282316374118,1.00730226511459,0.884557270027197,0.0227805801326611,0.0952745901715506,NA,3.8787348153249,56.97,"CV_done",TRUE,1480,FALSE
"530","nig_indep",59,340,FALSE,0.263842993157925,0.558318863677058,0.0985623095903488,0.657420524786442,0.833442197834651,0.757922409979269,0,2.5047563063561,2.55778309347533,2.60864053554624,0.0222675499424217,0.155924478534986,NA,2.14006190139938,56.97,"CV_done",TRUE,1380,TRUE
"531","nig_indep",67,722,FALSE,-0.0559133097130231,-0.168318951429628,0.122863512242326,1.83895792808237,0.468006864170319,0.379652042546479,1.16920112371841,2.13432104493432,1.70906838273407,1.4952039406051,0.0377097266202966,0.490410534288105,NA,2.99025188002321,56.97,"CV_done",TRUE,1387,FALSE
"532","nig_indep",68,1164,FALSE,-0.110007653227843,0.107345324595248,0.199754172698104,2.61935654722606,0.308819649107765,0.762904457221497,0,3.2725535949768,1.55215412152998,1.39288976843407,0.0507178212014047,0.504778035423148,NA,1.24592917913364,56.97,"CV_done",TRUE,1387,TRUE
"533","nig_indep",69,657,FALSE,-0.101419384689352,0.133597913787601,0.161889509389227,2.05958558057016,0.299655502401736,0.711052345631254,0,3.34159038807158,1.25420254359481,1.24164475561096,0.0428659773281269,0.400544845401737,NA,3.45715108506657,56.97,"CV_done",TRUE,1372,TRUE
